search_term,wikipage,type
ELEMENT_GLOBAL.2.102581,Lesser Black-backed Gull,spp
Larus fuscus,Lesser Black-backed Gull,spp
Larus fuscus,Lesser Black-backed Gull,spp
Lesser Black-backed Gull,Lesser Black-backed Gull,spp
D40E8FE849D498AF,Lesser Black-backed Gull,spp
Spinus psaltria,Lesser Goldfinch,spp
Spinus psaltria,Lesser Goldfinch,spp
Lesser Goldfinch,Lesser Goldfinch,spp
CD5C21CAB91A75EB,Lesser Goldfinch,spp
Chordeiles acutipennis,Lesser Nighthawk,spp
Chordeiles acutipennis,Lesser Nighthawk,spp
Lesser Nighthawk,Lesser Nighthawk,spp
9690689D23AEC109,Lesser Nighthawk,spp
ELEMENT_GLOBAL.2.104109,Lesser Scaup,spp
Aythya affinis,Lesser Scaup,spp
Aythya affinis,Lesser Scaup,spp
Lesser Scaup,Lesser Scaup,spp
50566E50C91B8686,Lesser Scaup,spp
ELEMENT_GLOBAL.2.100017,Lesser Yellowlegs,spp
Tringa flavipes,Lesser Yellowlegs,spp
Tringa flavipes,Lesser Yellowlegs,spp
Lesser Yellowlegs,Lesser Yellowlegs,spp
2C7A2673444BECF0,Lesser Yellowlegs,spp
Aramus guarauna,Limpkin,spp
Aramus guarauna,Limpkin,spp
Limpkin,Limpkin,spp
5D864313BEB5CCAA,Limpkin,spp
ELEMENT_GLOBAL.2.105323,Lincoln's Sparrow,spp
Melospiza lincolnii,Lincoln's Sparrow,spp
Melospiza lincolnii,Lincoln's Sparrow,spp
Lincoln's Sparrow,Lincoln's Sparrow,spp
AF49F8903B6DC7A5,Lincoln's Sparrow,spp
ELEMENT_GLOBAL.2.106018,Little Blue Heron,spp
Egretta caerulea,Little Blue Heron,spp
Egretta caerulea,Little Blue Heron,spp
Little Blue Heron,Little Blue Heron,spp
11512CF46992C660,Little Blue Heron,spp
Egretta garzetta,Little Egret,spp
Little Egret,Little Egret,spp
A6E9EDE55D229ED9,Little Egret,spp
ELEMENT_GLOBAL.2.104598,Little Gull,spp
Hydrocoloeus minutus,Little Gull,spp
Hydrocoloeus minutus,Little Gull,spp
Little Gull,Little Gull,spp
F89FD6E3A367C008,Little Gull,spp
Calidris minuta,Little Stint,spp
Little Stint,Little Stint,spp
9936FF4AFB430504,Little Stint,spp
ELEMENT_GLOBAL.2.104527,Loggerhead Shrike,spp
Lanius ludovicianus,Loggerhead Shrike,spp
Lanius ludovicianus,Loggerhead Shrike,spp
Loggerhead Shrike,Loggerhead Shrike,spp
36171C2B964AD4D0,Loggerhead Shrike,spp
ELEMENT_GLOBAL.2.100438,Long-billed Curlew,spp
Numenius americanus,Long-billed Curlew,spp
Numenius americanus,Long-billed Curlew,spp
Long-billed Curlew,Long-billed Curlew,spp
5284C27B1DE872F2,Long-billed Curlew,spp
ELEMENT_GLOBAL.2.100840,Long-billed Dowitcher,spp
Limnodromus scolopaceus,Long-billed Dowitcher,spp
Limnodromus scolopaceus,Long-billed Dowitcher,spp
Long-billed Dowitcher,Long-billed Dowitcher,spp
CB343E43E8CAF303,Long-billed Dowitcher,spp
Brachyramphus perdix,Long-billed Murrelet,spp
Long-billed Murrelet,Long-billed Murrelet,spp
0518820F7A915A80,Long-billed Murrelet,spp
ELEMENT_GLOBAL.2.101120,Long-eared Owl,spp
Asio otus,Long-eared Owl,spp
Asio otus,Long-eared Owl,spp
Long-eared Owl,Long-eared Owl,spp
FC4D40D2D5CEA6BE,Long-eared Owl,spp
ELEMENT_GLOBAL.2.103301,Long-tailed Duck,spp
Clangula hyemalis,Long-tailed Duck,spp
Clangula hyemalis,Long-tailed Duck,spp
Long-tailed Duck,Long-tailed Duck,spp
AF0C7BDEC7CEBAAC,Long-tailed Duck,spp
ELEMENT_GLOBAL.2.100027,Long-tailed Jaeger,spp
Stercorarius longicaudus,Long-tailed Jaeger,spp
Stercorarius longicaudus,Long-tailed Jaeger,spp
Long-tailed Jaeger,Long-tailed Jaeger,spp
1D4464402EC9FD21,Long-tailed Jaeger,spp
ELEMENT_GLOBAL.2.105622,Louisiana Waterthrush,spp
Parkesia motacilla,Louisiana Waterthrush,spp
Parkesia motacilla,Louisiana Waterthrush,spp
Louisiana Waterthrush,Louisiana Waterthrush,spp
7AB0F3A4A62BD4BF,Louisiana Waterthrush,spp
Geothlypis tolmiei,MacGillivray's Warbler,spp
Geothlypis tolmiei,MacGillivray's Warbler,spp
MacGillivray's Warbler,MacGillivray's Warbler,spp
85106518F57F4B09,MacGillivray's Warbler,spp
ELEMENT_GLOBAL.2.101631,Magnificent Frigatebird,spp
Fregata magnificens,Magnificent Frigatebird,spp
Fregata magnificens,Magnificent Frigatebird,spp
Magnificent Frigatebird,Magnificent Frigatebird,spp
8AA3B42E976C7B2A,Magnificent Frigatebird,spp
ELEMENT_GLOBAL.2.104401,Magnolia Warbler,spp
Setophaga magnolia,Magnolia Warbler,spp
Setophaga magnolia,Magnolia Warbler,spp
Magnolia Warbler,Magnolia Warbler,spp
1E82CE1ECC54F928,Magnolia Warbler,spp
ELEMENT_GLOBAL.2.105213,Mallard,spp
Anas platyrhynchos,Mallard,spp
Anas platyrhynchos,Mallard,spp
Mallard,Mallard,spp
D6F5A788399B36E7,Mallard,spp
Manomet Center for Conservation Sciences,Manomet Center for Conservation Sciences,org
ELEMENT_GLOBAL.2.100688,Manx Shearwater,spp
Puffinus puffinus,Manx Shearwater,spp
Puffinus puffinus,Manx Shearwater,spp
Manx Shearwater,Manx Shearwater,spp
7ECB790E4DFE344A,Manx Shearwater,spp
ELEMENT_GLOBAL.2.101687,Marbled Godwit,spp
Limosa fedoa,Marbled Godwit,spp
Limosa fedoa,Marbled Godwit,spp
Marbled Godwit,Marbled Godwit,spp
249AE8DFD7F51354,Marbled Godwit,spp
ELEMENT_GLOBAL.2.106147,Marsh Wren,spp
Cistothorus palustris,Marsh Wren,spp
Cistothorus palustris,Marsh Wren,spp
Marsh Wren,Marsh Wren,spp
787E05366752B844,Marsh Wren,spp
ELEMENT_GLOBAL.2.105902,Masked Booby,spp
Sula dactylatra,Masked Booby,spp
Sula dactylatra,Masked Booby,spp
Masked Booby,Masked Booby,spp
22D1B4A2F0911712,Masked Booby,spp
Nomonyx dominicus,Masked Duck,spp
Nomonyx dominicus,Masked Duck,spp
Masked Duck,Masked Duck,spp
98C6F8857AF96C4D,Masked Duck,spp
Max Planck Institute for Ornithology,Max Planck Institute for Ornithology,org
MPIO ,Max Planck Institute for Ornithology,org
ELEMENT_GLOBAL.2.105574,Merlin,spp
Falco columbarius,Merlin,spp
Falco columbarius,Merlin,spp
Merlin,Merlin,spp
F3DA111CC8A6841B,Merlin,spp
Larus canus,Mew Gull,spp
Larus canus,Mew Gull,spp
Mew Gull,Mew Gull,spp
0C290EA653CA6A56,Mew Gull,spp
Colibri thalassinus,Mexican Violetear,spp
Mexican Violetear,Mexican Violetear,spp
B9BA20586E39B234,Mexican Violetear,spp
ELEMENT_GLOBAL.2.104468,Mississippi Kite,spp
Ictinia mississippiensis,Mississippi Kite,spp
Ictinia mississippiensis,Mississippi Kite,spp
Mississippi Kite,Mississippi Kite,spp
ACFC8EB619367A2B,Mississippi Kite,spp
Anas fulvigula,Mottled Duck,spp
Anas fulvigula,Mottled Duck,spp
Mottled Duck,Mottled Duck,spp
697B933E00311446,Mottled Duck,spp
Charadrius montanus,Mountain Plover,spp
Charadrius montanus,Mountain Plover,spp
Mountain Plover,Mountain Plover,spp
1FFFEF4EDDE2157D,Mountain Plover,spp
ELEMENT_GLOBAL.2.104326,Mourning Dove,spp
Zenaida macroura,Mourning Dove,spp
Zenaida macroura,Mourning Dove,spp
Mourning Dove,Mourning Dove,spp
00124D987C95811B,Mourning Dove,spp
ELEMENT_GLOBAL.2.102326,Mourning Warbler,spp
Geothlypis philadelphia,Mourning Warbler,spp
Geothlypis philadelphia,Mourning Warbler,spp
Mourning Warbler,Mourning Warbler,spp
1A0096F2F929CEA2,Mourning Warbler,spp
ELEMENT_GLOBAL.2.100736,Mute Swan,spp
Cygnus olor,Mute Swan,spp
Cygnus olor,Mute Swan,spp
Mute Swan,Mute Swan,spp
694C127A5D849FFE,Mute Swan,spp
Oreothlypis ruficapilla,Nashville Warbler,spp
Leiothlypis ruficapilla,Nashville Warbler,spp
Nashville Warbler,Nashville Warbler,spp
183E5F909449A603,Nashville Warbler,spp
NAS,National Audubon Society,org
National Audubon Society,National Audubon Society,org
National Bobwhite Quail Initiative,National Bobwhite Quail Initiative,org
NBQI,National Bobwhite Quail Initiative,org
National Fish and Wildlife Foundation,National Fish and Wildlife Foundation,org
NFWF,National Fish and Wildlife Foundation,org
National Wildlife Federation,National Wildlife Federation,org
NWF,National Wildlife Federation,org
NatureServe,Natureserve,org
NCSU CE,NCSU Cooperative Extension,org
NCSU Cooperative Extension,NCSU Cooperative Extension,org
ELEMENT_GLOBAL.2.103846,Nelson's Sparrow,spp
Ammospiza nelsoni,Nelson's Sparrow,spp
Ammospiza nelsoni,Nelson's Sparrow,spp
Nelson's Sparrow,Nelson's Sparrow,spp
727D994FD915AB09,Nelson's Sparrow,spp
Audubon NC,North Carolina Audubon Society,org
Audubon North Carolina,North Carolina Audubon Society,org
NC Audubon Society,North Carolina Audubon Society,org
North Carolina Audubon Society,North Carolina Audubon Society,org
NC Museum of Natural Sciences,North Carolina Museum of Natural Sciences,org
NCMNS,North Carolina Museum of Natural Sciences,org
North Carolina Museum of Natural Sciences,North Carolina Museum of Natural Sciences,org
NC Natural Heritage Program,North Carolina Natural Heritage Program,org
NCNHP,North Carolina Natural Heritage Program,org
North Carolina Natural Heritage Program,North Carolina Natural Heritage Program,org
NCPARC,North Carolina Partners in Amphibian and Reptile Conservation,org
North Carolina Partners in Amphibian and Reptile Conservation,North Carolina Partners in Amphibian and Reptile Conservation,org
NC Partners in Flight,North Carolina Partners in Flight,org
NCPIF,North Carolina Partners in Flight,org
North Carolina Partners in Flight,North Carolina Partners in Flight,org
NCSCP,North Carolina Sandhills Conservation Partnership,org
North Carolina Sandhills Conservation Partnership,North Carolina Sandhills Conservation Partnership,org
North Carolina Sea Grant,North Carolina Sea Grant,org
SeaGrant North Carolina,North Carolina Sea Grant,org
SGNC,North Carolina Sea Grant,org
NC Source Water Initiative,North Carolina Source Water Initiative,org
NCSWI,North Carolina Source Water Initiative,org
NC Department of Parks and Recreation,North Carolina State Parks,org
NCDPR,North Carolina State Parks,org
North Carolina State Parks,North Carolina State Parks,org
NC State University,North Carolina State University,org
NCSU,North Carolina State University,org
North Carolina State University,North Carolina State University,org
NC Wildlife Resources Commission,North Carolina Wildlife Resources Commission,org
NCWRC,North Carolina Wildlife Resources Commission,org
North Carolina Wildlife Resources Commission,North Carolina Wildlife Resources Commission,org
ELEMENT_GLOBAL.2.106280,Northern Bobwhite,spp
Colinus virginianus,Northern Bobwhite,spp
Colinus virginianus,Northern Bobwhite,spp
Northern Bobwhite,Northern Bobwhite,spp
91CCBC719C97AE19,Northern Bobwhite,spp
ELEMENT_GLOBAL.2.105565,Northern Cardinal,spp
Cardinalis cardinalis,Northern Cardinal,spp
Cardinalis cardinalis,Northern Cardinal,spp
Northern Cardinal,Northern Cardinal,spp
4E74AE2276258520,Northern Cardinal,spp
ELEMENT_GLOBAL.2.106142,Northern Flicker,spp
Colaptes auratus,Northern Flicker,spp
Colaptes auratus,Northern Flicker,spp
Northern Flicker,Northern Flicker,spp
756009696D15E8A0,Northern Flicker,spp
ELEMENT_GLOBAL.2.102679,Northern Fulmar,spp
Fulmarus glacialis,Northern Fulmar,spp
Fulmarus glacialis,Northern Fulmar,spp
Northern Fulmar,Northern Fulmar,spp
049D9AEA4AFBFDFA,Northern Fulmar,spp
ELEMENT_GLOBAL.2.101189,Northern Gannet,spp
Morus bassanus,Northern Gannet,spp
Morus bassanus,Northern Gannet,spp
Northern Gannet,Northern Gannet,spp
534FB490884C6D33,Northern Gannet,spp
ELEMENT_GLOBAL.2.104351,Northern Goshawk,spp
Accipiter gentilis,Northern Goshawk,spp
Accipiter gentilis,Northern Goshawk,spp
Northern Goshawk,Northern Goshawk,spp
420850D62E855E4D,Northern Goshawk,spp
ELEMENT_GLOBAL.2.104766,Northern Harrier,spp
Circus hudsonius,Northern Harrier,spp
Circus hudsonius,Northern Harrier,spp
Northern Harrier,Northern Harrier,spp
A091D50AA92D949C,Northern Harrier,spp
Vanellus vanellus,Northern Lapwing,spp
Northern Lapwing,Northern Lapwing,spp
F029489ABD9D1334,Northern Lapwing,spp
ELEMENT_GLOBAL.2.100932,Northern Mockingbird,spp
Mimus polyglottos,Northern Mockingbird,spp
Mimus polyglottos,Northern Mockingbird,spp
Northern Mockingbird,Northern Mockingbird,spp
7EFF698DC564CF69,Northern Mockingbird,spp
ELEMENT_GLOBAL.2.102108,Northern Parula,spp
Setophaga americana,Northern Parula,spp
Setophaga americana,Northern Parula,spp
Northern Parula,Northern Parula,spp
41062654293EB4E1,Northern Parula,spp
ELEMENT_GLOBAL.2.103829,Northern Pintail,spp
Anas acuta,Northern Pintail,spp
Anas acuta,Northern Pintail,spp
Northern Pintail,Northern Pintail,spp
705744D97092F6C1,Northern Pintail,spp
ELEMENT_GLOBAL.2.100539,Northern Rough-winged Swallow,spp
Stelgidopteryx serripennis,Northern Rough-winged Swallow,spp
Stelgidopteryx serripennis,Northern Rough-winged Swallow,spp
Northern Rough-winged Swallow,Northern Rough-winged Swallow,spp
2C1981BBDAF51B2D,Northern Rough-winged Swallow,spp
ELEMENT_GLOBAL.2.106412,Northern Saw-whet Owl,spp
Aegolius acadicus,Northern Saw-whet Owl,spp
Aegolius acadicus,Northern Saw-whet Owl,spp
Northern Saw-whet Owl,Northern Saw-whet Owl,spp
26BA25EFD0F06DF7,Northern Saw-whet Owl,spp
ELEMENT_GLOBAL.2.101986,Northern Shoveler,spp
Spatula clypeata,Northern Shoveler,spp
Spatula clypeata,Northern Shoveler,spp
Northern Shoveler,Northern Shoveler,spp
ED4CE8E7CFF43696,Northern Shoveler,spp
Lanius borealis,Northern Shrike,spp
Lanius borealis,Northern Shrike,spp
Northern Shrike,Northern Shrike,spp
76158864558E850E,Northern Shrike,spp
ELEMENT_GLOBAL.2.102665,Northern Waterthrush,spp
Parkesia noveboracensis,Northern Waterthrush,spp
Parkesia noveboracensis,Northern Waterthrush,spp
Northern Waterthrush,Northern Waterthrush,spp
709AF716468341F7,Northern Waterthrush,spp
Oenanthe oenanthe,Northern Wheatear,spp
Oenanthe oenanthe,Northern Wheatear,spp
Northern Wheatear,Northern Wheatear,spp
AB031597691D999C,Northern Wheatear,spp
ELEMENT_GLOBAL.2.102228,Olive-sided Flycatcher,spp
Contopus cooperi,Olive-sided Flycatcher,spp
Contopus cooperi,Olive-sided Flycatcher,spp
Olive-sided Flycatcher,Olive-sided Flycatcher,spp
951C150C10C1B0BA,Olive-sided Flycatcher,spp
OBCF,Onslow Bight Conservation Forum,org
Onslow Bight Conservation Forum,Onslow Bight Conservation Forum,org
Oreothlypis celata,Orange-crowned Warbler,spp
Leiothlypis celata,Orange-crowned Warbler,spp
Orange-crowned Warbler,Orange-crowned Warbler,spp
FFF6108042E63910,Orange-crowned Warbler,spp
ELEMENT_GLOBAL.2.104372,Orchard Oriole,spp
Icterus spurius,Orchard Oriole,spp
Icterus spurius,Orchard Oriole,spp
Orchard Oriole,Orchard Oriole,spp
000482C9FC0553CD,Orchard Oriole,spp
ELEMENT_GLOBAL.2.105808,Osprey,spp
Pandion haliaetus,Osprey,spp
Pandion haliaetus,Osprey,spp
Osprey,Osprey,spp
1327AC55AA9D579B,Osprey,spp
ELEMENT_GLOBAL.2.103515,Ovenbird,spp
Seiurus aurocapilla,Ovenbird,spp
Seiurus aurocapilla,Ovenbird,spp
Ovenbird,Ovenbird,spp
CEA5B6AA48218C8A,Ovenbird,spp
ELEMENT_GLOBAL.2.100814,Pacific Loon,spp
Gavia pacifica,Pacific Loon,spp
Gavia pacifica,Pacific Loon,spp
Pacific Loon,Pacific Loon,spp
B7D7EF2398F42295,Pacific Loon,spp
ELEMENT_GLOBAL.2.100705,Painted Bunting,spp
Passerina ciris,Painted Bunting,spp
Passerina ciris,Painted Bunting,spp
Painted Bunting,Painted Bunting,spp
0BDB87DE301150B2,Painted Bunting,spp
ELEMENT_GLOBAL.2.104190,Palm Warbler,spp
Setophaga palmarum,Palm Warbler,spp
Setophaga palmarum,Palm Warbler,spp
Palm Warbler,Palm Warbler,spp
4AAEF54973E5453C,Palm Warbler,spp
ELEMENT_GLOBAL.2.100286,Parasitic Jaeger,spp
Stercorarius parasiticus,Parasitic Jaeger,spp
Stercorarius parasiticus,Parasitic Jaeger,spp
Parasitic Jaeger,Parasitic Jaeger,spp
39086887E9EAFEB3,Parasitic Jaeger,spp
Partners in Flight,Partners in Flight,org
PIF,Partners in Flight,org
Ectopistes migratorius,Passenger Pigeon,spp
Passenger Pigeon,Passenger Pigeon,spp
D397FE255A606DE8,Passenger Pigeon,spp
ELEMENT_GLOBAL.2.104343,Pectoral Sandpiper,spp
Calidris melanotos,Pectoral Sandpiper,spp
Calidris melanotos,Pectoral Sandpiper,spp
Pectoral Sandpiper,Pectoral Sandpiper,spp
ACC99F35F0E8F7EB,Pectoral Sandpiper,spp
ELEMENT_GLOBAL.2.102654,Peregrine Falcon,spp
Falco peregrinus,Peregrine Falcon,spp
Falco peregrinus,Peregrine Falcon,spp
Peregrine Falcon,Peregrine Falcon,spp
5A9A42C1DF7154B8,Peregrine Falcon,spp
ELEMENT_GLOBAL.2.100611,Philadelphia Vireo,spp
Vireo philadelphicus,Philadelphia Vireo,spp
Vireo philadelphicus,Philadelphia Vireo,spp
Philadelphia Vireo,Philadelphia Vireo,spp
447A1BA516A43F9A,Philadelphia Vireo,spp
ELEMENT_GLOBAL.2.100209,Pied-billed Grebe,spp
Podilymbus podiceps,Pied-billed Grebe,spp
Podilymbus podiceps,Pied-billed Grebe,spp
Pied-billed Grebe,Pied-billed Grebe,spp
9A8E55D00554A088,Pied-billed Grebe,spp
ELEMENT_GLOBAL.2.102132,Pileated Woodpecker,spp
Dryocopus pileatus,Pileated Woodpecker,spp
Dryocopus pileatus,Pileated Woodpecker,spp
Pileated Woodpecker,Pileated Woodpecker,spp
00635FF9DB14C765,Pileated Woodpecker,spp
ELEMENT_GLOBAL.2.101582,Pine Siskin,spp
Spinus pinus,Pine Siskin,spp
Spinus pinus,Pine Siskin,spp
Pine Siskin,Pine Siskin,spp
B48335B1DF4EF710,Pine Siskin,spp
ELEMENT_GLOBAL.2.101876,Pine Warbler,spp
Setophaga pinus,Pine Warbler,spp
Setophaga pinus,Pine Warbler,spp
Pine Warbler,Pine Warbler,spp
6283E61EEF174882,Pine Warbler,spp
ELEMENT_GLOBAL.2.106046,Piping Plover,spp
Charadrius melodus,Piping Plover,spp
Charadrius melodus,Piping Plover,spp
Piping Plover,Piping Plover,spp
671B69FE824DC9FF,Piping Plover,spp
ELEMENT_GLOBAL.2.106141,Pomarine Jaeger,spp
Stercorarius pomarinus,Pomarine Jaeger,spp
Stercorarius pomarinus,Pomarine Jaeger,spp
Pomarine Jaeger,Pomarine Jaeger,spp
7CB8F5B711DE64D0,Pomarine Jaeger,spp
ELEMENT_GLOBAL.2.103980,Prairie Warbler,spp
Setophaga discolor,Prairie Warbler,spp
Setophaga discolor,Prairie Warbler,spp
Prairie Warbler,Prairie Warbler,spp
E36325FA08B46EEF,Prairie Warbler,spp
ELEMENT_GLOBAL.2.100372,Prothonotary Warbler,spp
Protonotaria citrea,Prothonotary Warbler,spp
Protonotaria citrea,Prothonotary Warbler,spp
Prothonotary Warbler,Prothonotary Warbler,spp
4D08EE7E80D2E275,Prothonotary Warbler,spp
ELEMENT_GLOBAL.2.102759,Purple Finch,spp
Haemorhous purpureus,Purple Finch,spp
Haemorhous purpureus,Purple Finch,spp
Purple Finch,Purple Finch,spp
B4EE123DE4241449,Purple Finch,spp
ELEMENT_GLOBAL.2.102049,Purple Gallinule,spp
Porphyrio martinicus,Purple Gallinule,spp
Porphyrio martinicus,Purple Gallinule,spp
Purple Gallinule,Purple Gallinule,spp
72A4F8EBF168E80D,Purple Gallinule,spp
ELEMENT_GLOBAL.2.104037,Purple Martin,spp
Progne subis,Purple Martin,spp
Progne subis,Purple Martin,spp
Purple Martin,Purple Martin,spp
ACB9D1C6AB7F3371,Purple Martin,spp
ELEMENT_GLOBAL.2.103345,Purple Sandpiper,spp
Calidris maritima,Purple Sandpiper,spp
Calidris maritima,Purple Sandpiper,spp
Purple Sandpiper,Purple Sandpiper,spp
0A0B84313ACFFB2F,Purple Sandpiper,spp
Quail and Upland Wildlife Federation,Quail and Upland Wildlife Federation,org
QUWF,Quail and Upland Wildlife Federation,org
QU,Quail Unlimited,org
Quail Unlimited,Quail Unlimited,org
ELEMENT_GLOBAL.2.100936,Razorbill,spp
Alca torda,Razorbill,spp
Alca torda,Razorbill,spp
Razorbill,Razorbill,spp
64F4DD81371B269F,Razorbill,spp
ELEMENT_GLOBAL.2.1009908,Red Crossbill,spp
Loxia curvirostra,Red Crossbill,spp
Loxia curvirostra,Red Crossbill,spp
Red Crossbill,Red Crossbill,spp
135564AAF6B01DA2,Red Crossbill,spp
ELEMENT_GLOBAL.2.100057,Red Knot,spp
Calidris canutus,Red Knot,spp
Calidris canutus,Red Knot,spp
Red Knot,Red Knot,spp
B5CE8FAD18923A94,Red Knot,spp
ELEMENT_GLOBAL.2.636983,Red Phalarope,spp
Phalaropus fulicarius,Red Phalarope,spp
Phalaropus fulicarius,Red Phalarope,spp
Red Phalarope,Red Phalarope,spp
18A1938091EEEA73,Red Phalarope,spp
ELEMENT_GLOBAL.2.101877,Red-bellied Woodpecker,spp
Melanerpes carolinus,Red-bellied Woodpecker,spp
Melanerpes carolinus,Red-bellied Woodpecker,spp
Red-bellied Woodpecker,Red-bellied Woodpecker,spp
078557F2A5FB88C8,Red-bellied Woodpecker,spp
Phaethon aethereus,Red-billed Tropicbird,spp
Red-billed Tropicbird,Red-billed Tropicbird,spp
7EE005BD2701D129,Red-billed Tropicbird,spp
ELEMENT_GLOBAL.2.105357,Red-breasted Merganser,spp
Mergus serrator,Red-breasted Merganser,spp
Mergus serrator,Red-breasted Merganser,spp
Red-breasted Merganser,Red-breasted Merganser,spp
8DB64266A42FC19B,Red-breasted Merganser,spp
ELEMENT_GLOBAL.2.106131,Red-breasted Nuthatch,spp
Sitta canadensis,Red-breasted Nuthatch,spp
Sitta canadensis,Red-breasted Nuthatch,spp
Red-breasted Nuthatch,Red-breasted Nuthatch,spp
0716A71C439DC09E,Red-breasted Nuthatch,spp
ELEMENT_GLOBAL.2.103433,Red-cockaded Woodpecker,spp
Dryobates borealis,Red-cockaded Woodpecker,spp
Dryobates borealis,Red-cockaded Woodpecker,spp
Red-cockaded Woodpecker,Red-cockaded Woodpecker,spp
0BFCAE7944494A64,Red-cockaded Woodpecker,spp
ELEMENT_GLOBAL.2.101686,Reddish Egret,spp
Egretta rufescens,Reddish Egret,spp
Egretta rufescens,Reddish Egret,spp
Reddish Egret,Reddish Egret,spp
D8A24A3EDDC19AA4,Reddish Egret,spp
ELEMENT_GLOBAL.2.104140,Red-eyed Vireo,spp
Vireo olivaceus,Red-eyed Vireo,spp
Vireo olivaceus,Red-eyed Vireo,spp
Red-eyed Vireo,Red-eyed Vireo,spp
7254F08DB80D349C,Red-eyed Vireo,spp
ELEMENT_GLOBAL.2.106196,Redhead,spp
Aythya americana,Redhead,spp
Aythya americana,Redhead,spp
Redhead,Redhead,spp
3072CC168280168B,Redhead,spp
ELEMENT_GLOBAL.2.103539,Red-headed Woodpecker,spp
Melanerpes erythrocephalus,Red-headed Woodpecker,spp
Melanerpes erythrocephalus,Red-headed Woodpecker,spp
Red-headed Woodpecker,Red-headed Woodpecker,spp
448D91B74CBC772E,Red-headed Woodpecker,spp
ELEMENT_GLOBAL.2.101127,Red-necked Grebe,spp
Podiceps grisegena,Red-necked Grebe,spp
Podiceps grisegena,Red-necked Grebe,spp
Red-necked Grebe,Red-necked Grebe,spp
1CBD2CED48B674A4,Red-necked Grebe,spp
ELEMENT_GLOBAL.2.105225,Red-necked Phalarope,spp
Phalaropus lobatus,Red-necked Phalarope,spp
Phalaropus lobatus,Red-necked Phalarope,spp
Red-necked Phalarope,Red-necked Phalarope,spp
E6F3BA54577746FB,Red-necked Phalarope,spp
ELEMENT_GLOBAL.2.103156,Red-shouldered Hawk,spp
Buteo lineatus,Red-shouldered Hawk,spp
Buteo lineatus,Red-shouldered Hawk,spp
Red-shouldered Hawk,Red-shouldered Hawk,spp
EA4D6C0B76852200,Red-shouldered Hawk,spp
ELEMENT_GLOBAL.2.103000,Red-tailed Hawk,spp
Buteo jamaicensis,Red-tailed Hawk,spp
Buteo jamaicensis,Red-tailed Hawk,spp
Red-tailed Hawk,Red-tailed Hawk,spp
536A5157A50E1F3C,Red-tailed Hawk,spp
ELEMENT_GLOBAL.2.106180,Red-throated Loon,spp
Gavia stellata,Red-throated Loon,spp
Gavia stellata,Red-throated Loon,spp
Red-throated Loon,Red-throated Loon,spp
6C50988A5445ED76,Red-throated Loon,spp
ELEMENT_GLOBAL.2.102734,Red-winged Blackbird,spp
Agelaius phoeniceus,Red-winged Blackbird,spp
Agelaius phoeniceus,Red-winged Blackbird,spp
Red-winged Blackbird,Red-winged Blackbird,spp
C86D078E641FCE6D,Red-winged Blackbird,spp
ELEMENT_GLOBAL.2.100423,Ring-billed Gull,spp
Larus delawarensis,Ring-billed Gull,spp
Larus delawarensis,Ring-billed Gull,spp
Ring-billed Gull,Ring-billed Gull,spp
23863F65441680FA,Ring-billed Gull,spp
ELEMENT_GLOBAL.2.100619,Ring-necked Duck,spp
Aythya collaris,Ring-necked Duck,spp
Aythya collaris,Ring-necked Duck,spp
Ring-necked Duck,Ring-necked Duck,spp
0783A7EA9C26947D,Ring-necked Duck,spp
ELEMENT_GLOBAL.2.101333,Ring-necked Pheasant,spp
Phasianus colchicus,Ring-necked Pheasant,spp
Phasianus colchicus,Ring-necked Pheasant,spp
Ring-necked Pheasant,Ring-necked Pheasant,spp
4B9EEF568857FB51,Ring-necked Pheasant,spp
ELEMENT_GLOBAL.2.105107,Rock Pigeon,spp
Columba livia,Rock Pigeon,spp
Columba livia,Rock Pigeon,spp
Rock Pigeon,Rock Pigeon,spp
BBA263C235B15B88,Rock Pigeon,spp
ELEMENT_GLOBAL.2.101648,Roseate Spoonbill,spp
Platalea ajaja,Roseate Spoonbill,spp
Platalea ajaja,Roseate Spoonbill,spp
Roseate Spoonbill,Roseate Spoonbill,spp
70924157EB774F64,Roseate Spoonbill,spp
ELEMENT_GLOBAL.2.105391,Roseate Tern,spp
Sterna dougallii,Roseate Tern,spp
Sterna dougallii,Roseate Tern,spp
Roseate Tern,Roseate Tern,spp
74236837A4AFD042,Roseate Tern,spp
ELEMENT_GLOBAL.2.102231,Rose-breasted Grosbeak,spp
Pheucticus ludovicianus,Rose-breasted Grosbeak,spp
Pheucticus ludovicianus,Rose-breasted Grosbeak,spp
Rose-breasted Grosbeak,Rose-breasted Grosbeak,spp
7C2FCB13BAA660EE,Rose-breasted Grosbeak,spp
ELEMENT_GLOBAL.2.104055,Ross's Goose,spp
Anser rossii,Ross's Goose,spp
Anser rossii,Ross's Goose,spp
Ross's Goose,Ross's Goose,spp
7A24F57F87F66E97,Ross's Goose,spp
ELEMENT_GLOBAL.2.105206,Rough-legged Hawk,spp
Buteo lagopus,Rough-legged Hawk,spp
Buteo lagopus,Rough-legged Hawk,spp
Rough-legged Hawk,Rough-legged Hawk,spp
90B13ACF984D0DDF,Rough-legged Hawk,spp
ELEMENT_GLOBAL.2.104053,Royal Tern,spp
Thalasseus maximus,Royal Tern,spp
Thalasseus maximus,Royal Tern,spp
Royal Tern,Royal Tern,spp
