search_term,wikipage,type
Barnacle Goose,Barnacle Goose,spp
3163ED86A508BB83,Barnacle Goose,spp
ELEMENT_GLOBAL.2.103621,Barred Owl,spp
Strix varia,Barred Owl,spp
Strix varia,Barred Owl,spp
Barred Owl,Barred Owl,spp
7AA076EFD28C9BB6,Barred Owl,spp
Limosa lapponica,Bar-tailed Godwit,spp
Limosa lapponica,Bar-tailed Godwit,spp
Bar-tailed Godwit,Bar-tailed Godwit,spp
9A684C997C1AF1BA,Bar-tailed Godwit,spp
ELEMENT_GLOBAL.2.105277,Bay-breasted Warbler,spp
Setophaga castanea,Bay-breasted Warbler,spp
Setophaga castanea,Bay-breasted Warbler,spp
Bay-breasted Warbler,Bay-breasted Warbler,spp
10C601D3BCC5A85C,Bay-breasted Warbler,spp
Vireo bellii,Bell's Vireo,spp
Vireo bellii,Bell's Vireo,spp
Bell's Vireo,Bell's Vireo,spp
C3168495CAA783E4,Bell's Vireo,spp
ELEMENT_GLOBAL.2.105467,Belted Kingfisher,spp
Megaceryle alcyon,Belted Kingfisher,spp
Megaceryle alcyon,Belted Kingfisher,spp
Belted Kingfisher,Belted Kingfisher,spp
3558066B4F7EEB8E,Belted Kingfisher,spp
Pterodroma cahow,Bermuda Petrel,spp
Pterodroma cahow,Bermuda Petrel,spp
Bermuda Petrel,Bermuda Petrel,spp
F6533C4B9F518365,Bermuda Petrel,spp
ELEMENT_GLOBAL.2.100618,Bewick's Wren,spp
Thryomanes bewickii,Bewick's Wren,spp
Thryomanes bewickii,Bewick's Wren,spp
Bewick's Wren,Bewick's Wren,spp
603194D371801AC0,Bewick's Wren,spp
ELEMENT_GLOBAL.2.106330,Bicknell's Thrush,spp
Catharus bicknelli,Bicknell's Thrush,spp
Catharus bicknelli,Bicknell's Thrush,spp
Bicknell's Thrush,Bicknell's Thrush,spp
5E1BED9DF111DB7D,Bicknell's Thrush,spp
Biodiversity and Spatial Information Center,Biodiversity and Spatial Information Center,org
BSIC,Biodiversity and Spatial Information Center,org
Bird Studies Canada,Bird Studies Canada,org
BirdLife International,BirdLife International,org
BLI,BirdLife International,org
Cepphus grylle,Black Guillemot,spp
Cepphus grylle,Black Guillemot,spp
Black Guillemot,Black Guillemot,spp
B5AA5952E13FE5F3,Black Guillemot,spp
ELEMENT_GLOBAL.2.105641,Black Rail,spp
Laterallus jamaicensis,Black Rail,spp
Laterallus jamaicensis,Black Rail,spp
Black Rail,Black Rail,spp
C5DF08E75E27B2B5,Black Rail,spp
ELEMENT_GLOBAL.2.866837,Black Scoter,spp
Melanitta americana,Black Scoter,spp
Melanitta americana,Black Scoter,spp
Black Scoter,Black Scoter,spp
B7B1A5DD94724A05,Black Scoter,spp
ELEMENT_GLOBAL.2.105078,Black Skimmer,spp
Rynchops niger,Black Skimmer,spp
Rynchops niger,Black Skimmer,spp
Black Skimmer,Black Skimmer,spp
88AB027C4DF06D93,Black Skimmer,spp
ELEMENT_GLOBAL.2.105682,Black Tern,spp
Chlidonias niger,Black Tern,spp
Chlidonias niger,Black Tern,spp
Black Tern,Black Tern,spp
115AF02DD58018FB,Black Tern,spp
ELEMENT_GLOBAL.2.104530,Black Vulture,spp
Coragyps atratus,Black Vulture,spp
Coragyps atratus,Black Vulture,spp
Black Vulture,Black Vulture,spp
4FF7DE80F4192276,Black Vulture,spp
ELEMENT_GLOBAL.2.106290,Black-and-white Warbler,spp
Mniotilta varia,Black-and-white Warbler,spp
Mniotilta varia,Black-and-white Warbler,spp
Black-and-white Warbler,Black-and-white Warbler,spp
4D207AF69A79DDCF,Black-and-white Warbler,spp
ELEMENT_GLOBAL.2.102793,Black-bellied Plover,spp
Pluvialis squatarola,Black-bellied Plover,spp
Pluvialis squatarola,Black-bellied Plover,spp
Black-bellied Plover,Black-bellied Plover,spp
27903EF7E618A6A2,Black-bellied Plover,spp
Fregetta tropica,Black-bellied Storm-Petrel,spp
Black-bellied Storm-Petrel,Black-bellied Storm-Petrel,spp
ACE8EADE6CE42400,Black-bellied Storm-Petrel,spp
Dendrocygna autumnalis,Black-bellied Whistling-Duck,spp
Dendrocygna autumnalis,Black-bellied Whistling-Duck,spp
Black-bellied Whistling-Duck,Black-bellied Whistling-Duck,spp
C01A22D6C148AC65,Black-bellied Whistling-Duck,spp
ELEMENT_GLOBAL.2.103435,Black-billed Cuckoo,spp
Coccyzus erythropthalmus,Black-billed Cuckoo,spp
Coccyzus erythropthalmus,Black-billed Cuckoo,spp
Black-billed Cuckoo,Black-billed Cuckoo,spp
41E9F54BDA04ACBA,Black-billed Cuckoo,spp
Thalassarche melanophris,Black-browed Albatross,spp
Black-browed Albatross,Black-browed Albatross,spp
F9FCB9FF95FD3440,Black-browed Albatross,spp
ELEMENT_GLOBAL.2.104385,Blackburnian Warbler,spp
Setophaga fusca,Blackburnian Warbler,spp
Setophaga fusca,Blackburnian Warbler,spp
Blackburnian Warbler,Blackburnian Warbler,spp
4168AF09C7BCB40B,Blackburnian Warbler,spp
ELEMENT_GLOBAL.2.105569,Black-capped Chickadee,spp
Poecile atricapillus,Black-capped Chickadee,spp
Poecile atricapillus,Black-capped Chickadee,spp
Black-capped Chickadee,Black-capped Chickadee,spp
